catchment	stream	width_m	cover_site	mud	sand	gravel	pebble	cobble	boulders	vel	depth_cm	temp	pH	cond	turb	do_mg	do_porc	salinity	nitro	phos	lat	lon
8	1	2.266666667	86.66666667	2.777777778	38.33333333	2.333333333	2.666666667	21.66666667	26.66666667	0.1	19.33333333	17.68666667	6.523333333	0.041333333	5.533333333	8.686666667	93.93333333	0	0.113333333	11.19666667	-24.000595	-48.1064
8	2	1.2	46.66666667	22.22222222	15	1.333333333	7.666666667	9.333333333	0	0.233333333	16.66666667	19.58333333	6.596666667	0.071666667	3.833333333	6.626666667	74.36666667	0	0.106666667	17.36666667	-24.002113	-48.097013
8	3	1.483333333	75	0	16.66666667	13.33333333	43.33333333	26.66666667	0	0.388888889	8.444444444	20.59333333	6.346666667	0.018333333	5.633333333	7.05	80.56666667	0	0.07	5.246666667	-24.020392	-48.112876
8	4	1.4	76.66666667	0	38.33333333	13.33333333	28.33333333	13.33333333	6.666666667	0.288888889	7.888888889	20.40333333	6.703333333	0.03	2.8	8.24	93.86666667	0	0.14	12.03333333	-24.026487	-48.096825
8	5	1.666666667	68.33333333	0	70	1.666666667	13.33333333	8.333333333	6.666666667	0.3	13.22222222	21.10333333	6.42	0.024	2.4	7.4	85.36666667	0	0.066666667	14.34666667	-24.027068	-48.094874
9	1	2.1	56.66666667	0	23.33333333	1.666666667	1.666666667	20	53.33333333	0.211111111	13.22222222	17.24666667	5.47	0.015	8.2	7.963333333	85.4	0	0.186666667	11.62333333	-23.91313	-47.623182
9	2	1.5	80	0	30	8.333333333	25	26.66666667	10	0.166666667	9	19.40666667	5.523333333	0.024666667	6.5	15.07	168.4333333	0	0.213333333	12.87666667	-23.91332	-47.624039
9	3	1.9	68.33333333	0	21.66666667	18.33333333	31.66666667	28.33333333	0	0.322222222	11.44444444	17.24	6.625	0.0155	0	10.03	107.55	0	0.11	14.55666667	-23.918303	-47.646907
9	4	2.633333333	90	0	51.66666667	20	20	0	8.333333333	0.111111111	3.666666667	17.46	6.69	0.019666667	0	9.466666667	102	0	0.136666667	45.84666667	-23.918723	-47.638556
9	5	2.533333333	76.66666667	0	13.33333333	15	11.66666667	3.333333333	56.66666667	0.388888889	22	18.88666667	5.836666667	0.014	0	8.3	91.9	0	0.113333333	8.766666667	-23.922023	-47.643956
10	1	2.1	0	0	45	21.66666667	21.66666667	11.66666667	0	0.122222222	14.66666667	21.06	6.026666667	0.09	26	7.883333333	90.86666667	0	0.123333333	26.55666667	-23.824255	-47.704118
10	2	1.433333333	77.33333333	0	33.33333333	23.33333333	28.33333333	15	0	0.111111111	4.444444444	20.01666667	6.133333333	0.121666667	0	6.34	71.73333333	0.01	0.076666667	32.18	-23.873925	-47.658671
10	3	1.016666667	70	0	25	8.333333333	15	51.66666667	0	0.3	5.555555556	17.62333333	6.453333333	0.053	10.5	8.966666667	96.9	0	0.11	11.33333333	-23.82311	-47.703485
10	4	1.9	76.66666667	0	20	11.66666667	51.66666667	16.66666667	0	0.133333333	8.555555556	17.10333333	6.49	0.050333333	0.633333333	9.02	96.46666667	0	0.123333333	10.32	-23.866841	-47.657967
10	5	2.166666667	66.66666667	5.555555556	0	8.333333333	73.33333333	1.666666667	0	0.1	3.444444444	18.21333333	6.726666667	0.056	18.1	8.1	88.53333333	0	0.14	9.546666667	-23.852731	-47.665872
11	1	1.766666667	83.33333333	0	43.33333333	11.66666667	18.33333333	10	16.66666667	0.111111111	5.444444444	17.45333333	6.533333333	0.055	10.6	9.99	107.5666667	0	0.13	16.12666667	-23.879143	-47.413642
11	2	1.833333333	85	0	33.33333333	21.66666667	36.66666667	3.333333333	5	0.133333333	9.111111111	17.66	6.196666667	0.027666667	7.233333333	8.116666667	87.8	0	0.07	18.77333333	-23.885136	-47.438803
11	3	2.1	40	0	28.33333333	3.333333333	5	33.33333333	30	0.233333333	18.33333333	22.14666667	6.34	0.038666667	25.86666667	7.803333333	91.7	0	0.133333333	32.26	-23.859013	-47.420704
11	4	1.516666667	16.66666667	0	21.66666667	13.33333333	31.66666667	26.66666667	6.666666667	0.233333333	18.55555556	22.42333333	5.786666667	0.027333333	0	6.37	75.16666667	0	0.15	62.41666667	-23.853443	-47.403977
11	5	1.433333333	80	0	45	16.66666667	36.66666667	1.666666667	0	0.233333333	5	17.76	5.745	0.02	18.95	7.41	80.3	0	0.08	13.81666667	-23.842149	-47.398559
12	1	1.52	91.66666667	0	51.66666667	31.66666667	11.66666667	5	0	0.133333333	3.888888889	18.01666667	6.426666667	0.036	1.666666667	9.263333333	100.9	0	0.07	66.18	-23.992799	-47.597442
12	2	2.233333333	11.66666667	0	46.66666667	10	13.33333333	23.33333333	6.666666667	0.211111111	18.66666667	19.03666667	5.966666667	0.033	0	8.573333333	95.23333333	0	0.113333333	31.81333333	-24.005749	-47.603826
12	3	1.933333333	90	0	36.66666667	8.333333333	8.333333333	25	21.66666667	0.177777778	14.33333333	19.05333333	6.373333333	0.031	0	9.83	109.1333333	0	0.14	41.20666667	-23.990548	-47.581924
12	4	3.466666667	93.33333333	0	40	9.333333333	10.66666667	6.666666667	33.33333333	0.155555556	18.44444444	21.44666667	6.403333333	0.031333333	0	9.01	104.6	0	0.11	35.52666667	-23.970245	-47.541764
12	5	3.266666667	98	0	35	20	30	15	0	0.244444444	9.555555556	20.64333333	5.59	0.031	6.3	7.663333333	87.66666667	0	0.186666667	45.41666667	-23.985995	-47.594541
13	1	1.55	60	0	26.66666667	18.33333333	40	11.66666667	3.333333333	0.144444444	11.33333333	18.22666667	6.176666667	0.159	6.766666667	9.183333333	100.5	0.01	0.163333333	5.31	-24.24953	-48.530887
13	2	2.266666667	78.33333333	0	16.66666667	11.66666667	50	18.33333333	3.333333333	0.244444444	7.555555556	17.76333333	6.563333333	0.057	1.433333333	10.09666667	109.4	0	0.116666667	57.66	-24.258203	-48.522483
13	3	2.066666667	80	0	30	16.66666667	45	8.333333333	0	0.133333333	12.33333333	18.12333333	7.016666667	0.147666667	3.533333333	9.183333333	100.2666667	0.01	0.136666667	6.46	-24.256028	-48.530406
13	4	4.366666667	46.66666667	0	15	5	63.33333333	6.666666667	10	0.1	37.77777778	17.4375	7.08	0.083	2.25	14.3375	154.425	0	0.105	19.23	-24.272564	-48.529396
13	5	2.8	90	0	16.66666667	20	63.33333333	0	0	0.244444444	15.11111111	18.97666667	7.76	0.326333333	8.833333333	9.603333333	106.6666667	0.02	0.106666667	11.73666667	-24.24194567	-48.52019803
14	1	1.8	75	0	48.33333333	8.333333333	16.66666667	13.33333333	13.33333333	0.1	27.66666667	17.02	7.15	0.188666667	3.766666667	7.473333333	79.8	0.01	0.103333333	12.17	-24.241216	-48.416308
14	2	1.966666667	80	0	6.666666667	13.33333333	28.33333333	38.33333333	13.33333333	0.166666667	7.666666667	17.65	7.303333333	0.070666667	16.13333333	8.99	97.23333333	0	0.103333333	13.08	-24.193468	-48.42203
14	3	1.98	85	0	10	15	45	30	0	0.222222222	11	17.615	7.25	0.1115	2.75	9.07	98	0.005	0.133333333	15.21666667	-24.164834	-48.391945
14	4	1.766666667	85	0	28.33333333	11.66666667	50	10	0	0.2	6.777777778	18.15333333	7.2	0.131	5.366666667	9.446666667	103.2	0.01	0.143333333	17.93	-24.226472	-48.425897
14	5	2.49	93.33333333	0	21.66666667	16.66666667	20	13.33333333	28.33333333	0.177777778	14.22222222	17.86	7.515	0.211	2.55	9.085	98.7	0.01	0.136666667	23.03666667	-24.23884	-48.425174
